name,state,region,budget,climate,activity_type,best_season,vibe,rating,description,daily_cost_min,daily_cost_max,famous_for,crowd_level,language,best_food,entry_fee,stay_type,travel_mode,trek_difficulty,wildlife,unesco,honeymoon_suitable,family_suitable,solo_suitable,adventure_level,spiritual_level,photography_score,nearest_airport,nearest_railway,best_month,local_transport,avg_temp_summer,avg_temp_winter,internet_connectivity,medical_facilities,visa_required,currency_tips,off_season_discount,hidden_gem_score,instagram_worthy,night_life,shopping_rating,kid_friendly_score,pet_friendly,accessibility_score,hindi_name
Vagamon,Kerala,South,low,mild,nature,monsoon,nature,4.5,Meadows and pine forests with paragliding and backwater origins,900,2600,Meadows|Pine Forest|Paragliding,Low,Malayalam,Kerala Meals|Tea|Payasam,Free,Homestay|Resort,Car,Easy,Barking Deer|Sambar,No,Yes,Yes,Yes,Medium,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,वागामोन
Kudle Beach,Karnataka,South,low,tropical,beach,winter,romantic,4.4,Hippie paradise south of Gokarna with calm sea and yoga culture,800,2500,Hippie Beach|Yoga|Quiet,Low,Kannada|Konkani,Seafood|South Indian Thali|Hummus,Free,Beach Hut|Guesthouse,Bus|Car,,Turtle|Dolphin,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कुडले बीच
Om Beach,Karnataka,South,low,tropical,beach,winter,romantic,4.6,Sacred beach shaped like Om symbol in holy Gokarna town,800,2500,Om Shaped Beach|Sacred|Yoga|Cliffs,Low,Kannada|Konkani,Seafood|South Indian Thali,Free,Beach Hut|Guesthouse,Bus|Car,,Turtle|Dolphin,No,Yes,Yes,Yes,Low,High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ओम बीच
Murdeshwar,Karnataka,South,low,tropical,cultural,winter,spiritual,4.5,Giant Shiva statue by sea with underworld thrill ride at temple,700,2000,Giant Shiva|Sea Temple|Theme Attraction,Medium,Kannada,Seafood|Neer Dosa|Fish Curry,Free,Hotel|Beach Resort,Train|Car,,Dolphin|Sea Turtle,No,Yes,Yes,Yes,Low,High,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुरुदेश्वर
Yana,Karnataka,South,low,tropical,adventure,monsoon,nature,4.6,Majestic twin rock formations rising from dense forest with cave temple,700,2000,Twin Rocks|Cave Temple|Forest Trek,Low,Kannada,Local Snacks|Thali,Free,Budget Hotel,Car,Moderate,Malabar Giant Squirrel|Hornbill,No,No,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,याना
Jog Falls,Karnataka,South,low,tropical,nature,monsoon,nature,4.6,Second highest waterfall in India dropping 253m in four distinct falls,700,2000,Highest Waterfall|Four Falls|Power Station,Medium,Kannada,Thali|Local Snacks|Corn,50,Budget Hotel|Guesthouse,Car|Bus,Easy,Malabar Giant Squirrel|Hornbill,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,जोग जलप्रपात
Sirsi,Karnataka,South,low,tropical,nature,monsoon,nature,4.4,Arecanut and coconut town gateway to Yana and Magod Falls,700,2000,Arecanut Plantation|Magod Falls|Gateway,Low,Kannada,Kadle Mannu|Thali|Coconut,Free,Hotel|Guesthouse,Car|Bus,Easy,Malabar Giant Squirrel|Hornbill,No,No,Yes,Yes,Low,Low,6,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,सिरसी
Shravanabelagola,Karnataka,South,low,hot,cultural,winter,spiritual,4.6,Giant monolithic Bahubali statue - tallest free standing statue in world,600,1800,Bahubali Statue|Jain Pilgrimage|Monolith,Medium,Kannada,Thali|South Indian Breakfast,Free,Dharmasala|Budget Hotel,Car|Bus,,Peacock,No,Yes,Yes,Yes,Low,Very High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,श्रवणबेलगोला
Belur Halebidu,Karnataka,South,low,hot,cultural,winter,cultural,4.7,Hoysala temples with intricate star-shaped architecture and detailed carvings,700,2000,Hoysala Temples|Intricate Carvings|Architecture,Low,Kannada,Thali|Filter Coffee|South Indian Breakfast,25,Hotel|Guesthouse,Car|Bus,,—,Yes,Yes,Yes,Yes,Low,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बेलूर हलेबीडु
Aihole Pattadakal,Karnataka,South,low,hot,cultural,winter,cultural,4.6,Cradle of Indian temple architecture with 125 temples from 6th century,600,1800,Ancient Temples|Architecture Cradle|Chalukyan,Low,Kannada,Jolada Roti|Enne Badnekai|Thali,20,Budget Hotel|Guesthouse,Car|Bus,,—,Yes,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ऐहोले पट्टदकल
Ankola,Karnataka,South,low,tropical,beach,winter,nature,4.4,Pristine uncrowded beaches and sea turtle nesting sites in Uttara Kannada,800,2200,Turtle Nesting|Pristine Beach|Quiet,Low,Kannada|Konkani,Seafood|Fish Curry|Neer Dosa,Free,Beach Hut|Guesthouse,Car,,Olive Ridley Turtle|Dolphin,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अंकोला
Mulki,Karnataka,South,low,tropical,beach,winter,nature,4.4,Surfing destination with Shambhavi River confluence and mango groves,800,2200,Surfing|River Confluence|Mango Groves,Low,Kannada|Tulu,Seafood|Mangalorean Fish Curry,Free,Beach House|Surf Camp,Car|Bus,,Dolphin|Sea Turtle,No,No,Yes,Yes,Medium,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मूल्की
Udupi,Karnataka,South,low,tropical,cultural,winter,spiritual,4.5,Famous for Krishna Temple unique cuisine and synthetic fiber sarees,700,2000,Krishna Temple|Udupi Cuisine|Mattupetty,Medium,Kannada|Tulu,Udupi Thali|Idli|Dosa|Coconut Chutney,Free,Hotel|Dharamsala,Train|Car,,—,No,Yes,Yes,Yes,Low,Very High,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,उडुपी
Thekkady,Kerala,South,medium,tropical,nature,winter,nature,4.6,Periyar Wildlife Sanctuary with boat safari among elephants and birds,1800,5000,Elephant|Boat Safari|Spice Garden,High,Malayalam,Kerala Meals|Spice Tea,500,Eco Lodge|Resort|Treehouse,Car,,Elephant|Gaur|Nilgiri Langur,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,थेक्कडी
Kovalam - Lighthouse,Kerala,South,low,tropical,beach,winter,romantic,4.5,Iconic crescent beach with old lighthouse and Ayurvedic massage tradition,1000,3500,Lighthouse|Ayurveda|Crescent Beach,High,Malayalam,Seafood|Kerala Meals|Fresh Juice,Free,Beach Resort|Budget Hotel,Bus|Car,,Sea Turtle,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कोवलम - लाइटहाउस
Veli Tourist Village,Kerala,South,low,tropical,beach,winter,nature,4.3,Unique spot where Veli Lake meets Arabian Sea creating backwater lagoon,800,2200,Lake meets Sea|Lagoon|Boating,Medium,Malayalam,Kerala Meals|Coconut Water,50,Day Trip|Budget Hotel,Car|Bus,,Migratory Birds|Kingfisher,No,Yes,Yes,Yes,Low,Low,6,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,वेली पर्यटन गांव
Munroe Island,Kerala,South,low,tropical,nature,winter,romantic,4.6,Small island between Ashtamudi Lake and Kallada River with canoe trails,1500,4500,Canoe Trail|Backwater Island|Coir,Low,Malayalam,Kerala Meals|Fresh Seafood|Toddy,Free,Houseboat|Homestay,Canoe|Ferry,,Otter|Kingfisher|Purple Heron,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुनरो द्वीप
Marari Beach,Kerala,South,low,tropical,beach,winter,romantic,4.6,Secluded fishing village beach with luxury tented camps and hammocks,1500,5000,Secluded Beach|Fishing Village|Hammocks,Low,Malayalam,Seafood|Kerala Meals|Coconut Toddy,Free,Luxury Camp|Beach Resort,Car,,Sea Turtle|Kingfisher,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मरारी बीच
Kannur,Kerala,South,low,tropical,cultural,winter,cultural,4.5,Land of looms and lores with Theyyam ritual dance and beach forts,900,2600,Theyyam|Beach Forts|Handloom,Low,Malayalam,Puttu|Kallumakkaya|Seafood,Free,Hotel|Homestay,Train|Car,,Sea Turtle,No,Yes,Yes,Yes,Low,High,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कण्णूर
Bekal,Kerala,South,low,tropical,beach,winter,romantic,4.6,Kerala's largest and best-preserved fort on a promontory jutting into sea,1000,3500,Bekal Fort|Beach|Backwater Resort,Low,Malayalam,Malabar Biryani|Seafood|Puttu,Free,Luxury Resort|Beach Hotel,Train|Car,,Sea Turtle|Kingfisher,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बेकल
Kasaragod,Kerala,South,low,tropical,cultural,winter,cultural,4.4,Gateway to Kerala with unique Yakshagana dance and Malik Deenar mosque,800,2400,Yakshagana|Malik Deenar|Culture Mix,Low,Malayalam|Kannada|Tulu,Malabar Biryani|Seafood|Appam,Free,Hotel|Guesthouse,Train|Car,,Sea Turtle,No,Yes,Yes,Yes,Low,Medium,6,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कासरगोड
Kasol Kheerganga Circuit,Himachal Pradesh,North,low,mild,adventure,spring,adventure,4.7,Popular backpacker circuit from Kasol village to Kheerganga hot springs,700,2200,Hot Springs|River Trek|Parvati Valley,Low,Hindi|Pahari|Hebrew,Momos|Israeli Food|Thali,Free,Camp|Trek Hut|Guesthouse,Bus|Trek,Moderate,Himalayan Bear|Musk Deer,No,No,Yes,Yes,High,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कसोल खीर गंगा सर्किट
Triund,Himachal Pradesh,North,low,mild,adventure,spring,adventure,4.7,Perfect introductory Himalayan trek with stunning Dhauladhar views,800,2400,Easy Trek|Dhauladhar|Camping,Low,Hindi|Tibetan,Momos|Maggi|Thukpa,Free,Camp|Trek Hut,Trek Only,Easy,Himalayan Monal|Snow Pigeon,No,No,Yes,Yes,High,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,त्रिउंड
Pabbar Valley,Himachal Pradesh,North,low,cold,nature,spring,nature,4.5,Apple orchards and trout streams in a remote Himalayan valley,900,2500,Apple Orchards|Trout Fishing|Remote,Low,Hindi|Pahari,Trout|Siddu|Local Food,Free,Guesthouse|Homestay,Car,Easy,Himalayan Bear|Musk Deer,No,No,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पब्बर घाटी
Sarchu,Himachal Pradesh,North,low,cold,adventure,summer,adventure,4.7,High altitude transit camp between Manali and Leh at 4290m,2000,5000,High Altitude Camp|Baralacha Pass|Milky Way,Low,Hindi,Camp Food|Thali|Chai,Free,Camp Only,Car|Bike,,Tibetan Wolf|Tibetan Fox,No,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,सरचू
Batal,Himachal Pradesh,North,low,cold,adventure,summer,adventure,4.6,Remotest dhaba in India at the crossroads of Spiti and Lahaul,1500,4000,Remotest Dhaba|Crossroads|Adventure,Low,Hindi|Spitian,Thali|Chai|Maggi,Free,Camp Only,Car|Bike,,Snow Leopard|Ibex,No,No,Yes,Yes,Very High,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बाताल
Pin Valley,Himachal Pradesh,North,medium,cold,adventure,summer,adventure,4.8,Cold desert national park at 3500m with Snow Leopard and rare herbs,1500,4000,Snow Leopard|Cold Desert|Remote,Low,Spitian|Hindi,Thukpa|Local Thali|Butter Tea,Free,Homestay|Camp,Car,Moderate,Snow Leopard|Siberian Ibex|Tibetan Wolf,No,No,Yes,Yes,High,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पिन घाटी
Kinnaur,Himachal Pradesh,North,medium,cold,cultural,summer,adventure,4.7,Apple orchards carved monasteries and the hanging village of Sangla Valley,1500,4500,Apple|Kinnauri Shawls|Hanging Village,Low,Kinnauri|Hindi,Siddu|Faanu|Local Food,Free,Guesthouse|Homestay,Car,Moderate,Snow Leopard|Himalayan Ibex,No,No,Yes,Yes,Medium,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,किन्नौर
Sangla,Himachal Pradesh,North,low,cold,nature,summer,nature,4.7,Baspa Valley with hanging village Chitkul and last inhabited Indian village,1200,3500,Hanging Village|Baspa River|Last Village,Low,Kinnauri|Hindi,Siddu|Faanu|Local Food,Free,Guesthouse|Homestay,Car,Easy,Snow Leopard|Himalayan Thar,No,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,सांगला
Chitkul,Himachal Pradesh,North,low,cold,adventure,summer,adventure,4.8,Last inhabited village before Tibet border at 3450m with stunning valley,1200,3500,Last Village|Tibetan Border|Pristine,Low,Kinnauri|Hindi,Thali|Maggi|Local Food,Free,Guesthouse Only,Car,Easy,Snow Leopard|Himalayan Bear,No,No,Yes,Yes,Medium,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,छितकुल
Malana,Himachal Pradesh,North,low,cold,cultural,summer,cultural,4.5,Ancient democracy claiming to be oldest in world with strict customs,800,2500,Ancient Democracy|Unique Customs|Cannabis,Low,Kanashi|Hindi,Local Food|Thali,Free,Guesthouse,Trek Only,Moderate,Himalayan Bear|Musk Deer,No,No,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मलाना
Barot Valley,Himachal Pradesh,North,low,mild,nature,spring,nature,4.6,Hidden valley with rainbow trout fishing and dense forests near Mandi,800,2400,Trout Fishing|Hidden Valley|Forest,Low,Hindi|Mandi,Trout Fish|Local Thali|Siddu,Free,Guesthouse|Camp,Car,Easy,Brown Bear|Barking Deer,No,No,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बारोट घाटी
Rann Utsav Camp,Gujarat,West,high,hot,cultural,winter,nature,4.8,Luxury tent city on the edge of white salt desert during Rann Utsav festival,4000,12000,White Desert|Full Moon|Handicrafts Fair,High,Gujarati|Kutchi,Dabeli|Fafda|Gujarati Thali,Free,Luxury Tent City,Car|Flight,,Wild Ass|Flamingo,No,Yes,Yes,Yes,Low,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,रण उत्सव कैंप
Sangla Valley,Himachal Pradesh,North,low,cold,adventure,summer,nature,4.7,Apple orchards in dramatic Kinnaur valley,1200,3500,Apple Orchards|Kinnaur|Raksham Village,Low,Kinnauri|Hindi,Chha Gosht|Sidu|Chilra,Free,Homestay|Guesthouse,Car,Easy,Snow Leopard|Himalayan Brown Bear,No,Yes,Yes,Yes,Medium,Low,9,Shimla,Shimla,June,Car,20,0,Medium,Basic,No,Cash only,40%,9,9,Low,3,7,No,4,सांगला घाटी
Chadar Trek,Ladakh,North,medium,cold,adventure,winter,adventure,4.9,Frozen river trek through dramatic Zanskar gorge,3000,8000,Frozen River|Zanskar|Extreme Trek,Low,Ladakhi|Hindi,Thukpa|Butter Tea|Tsampa,5000,Camp,Trek Only,Extreme,Snow Leopard,No,No,No,Yes,Extreme,Low,10,Leh,—,January,Trek,0,minus30,Medium,Basic,No,Cash only,—,10,10,Low,1,3,No,2,चादर ट्रेक
Dooars,West Bengal,East,low,tropical,nature,winter,nature,4.5,Gateway to Bhutan with tea gardens and wildlife,800,2500,Tea Gardens|Wildlife|Bhutan Border,Low,Bengali|Nepali,Momos|Maacher Jhol|Luchi,500,Eco Lodge|Resort,Train|Car,Easy,Elephant|Rhino|Leopard,No,No,Yes,Yes,Low,,8,Bagdogra,New Jalpaiguri,November,Car|Jeep,28,10,Low,Basic,No,Cash preferred,35%,7,8,Low,5,8,No,5,डुआर्स
Mirik,West Bengal,East,low,mild,nature,spring,nature,4.4,Serene hill town with Sumendu Lake and orange orchards,700,2000,Sumendu Lake|Orange Orchards|Peace,Low,Nepali|Bengali,Momos|Darjeeling Tea|Thukpa,Free,Hotel|Homestay,Car|Bus,Easy,—,No,Yes,Yes,Yes,Low,,7,Bagdogra,New Jalpaiguri,March,Car|Taxi,20,5,Medium,Basic,No,Cash preferred,35%,7,7,Low,5,8,No,6,मिरिक
Munger,Bihar,East,low,mild,cultural,winter,spiritual,4.2,Yoga capital with ancient fort and Ganga ghats,400,1200,Yoga|Ancient Fort|Ganga,Low,Hindi|Bhojpuri,Litti Chokha|Sattu|Thekua,Free,Ashram|Guesthouse,Train|Bus,Easy,—,No,No,Yes,Yes,Low,High,7,Patna,Munger,November,Auto|Rickshaw,36,14,Low,Basic,No,Cash only,45%,7,7,Low,5,6,No,5,मुंगेर
Bidar,Karnataka,South,low,hot,cultural,winter,cultural,4.3,Medieval Bahmani Sultanate capital with stunning architecture,500,1500,Bidar Fort|Bidriware|Bahmani Tombs,Low,Kannada|Urdu,Biryani|Haleem|Khichdi,Free,Hotel|Guesthouse,Bus|Car,Easy,—,No,No,Yes,Yes,Low,,7,Hyderabad,Bidar,November,Auto|Bus,36,16,Low,Basic,No,Cash preferred,45%,8,7,Low,6,6,No,5,बीदर
Hamta Pass Trek,Himachal Pradesh,North,low,cold,adventure,summer,adventure,4.8,High altitude trek from Kullu to Spiti via Hamta Pass,1500,4000,Trek|Snow|Dramatic Landscape,Low,Hindi|Himachali,Dal Rice|Thukpa|Packed Meals,1000,Camp,Trek,Hard,Snow Leopard|Himalayan Bird,No,No,No,Yes,Very High,,9,Kullu,Shimla,June,Car then Trek,25,minus5,Medium,Basic,No,Cash only,—,8,9,Low,2,5,No,3,हम्टा पास ट्रेक
Valley of Flowers,Uttarakhand,North,low,cold,nature,summer,nature,4.9,UNESCO World Heritage blooming alpine meadow,1000,3000,Alpine Flowers|Trek|Hemkund Sahib,Medium,Hindi,Packed Meals|Dal Rice,200,Camp|Guesthouse,Trek,Moderate,Snow Leopard|Himalayan Bird,Yes,Yes,No,Yes,High,Medium,10,Dehradun,Haridwar,August,Bus then Trek,18,minus5,Medium,Basic,No,Cash only,—,9,10,Low,2,6,No,3,फूलों की घाटी
Chopta Tungnath,Uttarakhand,North,low,cold,adventure,summer,nature,4.7,Highest Shiva temple with Chandrashila peak views,700,2000,Tungnath Temple|Chandrashila Peak|Bugyal,Low,Hindi,Dal Rice|Maggi|Chai,Free,Camp|Guesthouse,Car then Trek,Easy,Musk Deer|Himalayan Bird,No,Yes,No,Yes,Medium,High,10,Dehradun,Haridwar,May,Car|Trek,18,minus5,Low,Basic,No,Cash only,40%,9,10,Low,2,6,No,4,चोपता तुंगनाथ
Almora,Uttarakhand,North,low,mild,cultural,spring,nature,4.4,Ancient Kumaoni town with panoramic Himalayan views,700,2000,Kumaoni Culture|Himalayan View|Chitai Temple,Low,Hindi|Kumaoni,Bal Mithai|Singodi|Kafuli,Free,Hotel|Guesthouse,Car|Bus,Easy,Leopard|Himalayan Bird,No,No,Yes,Yes,Low,Medium,8,Pantnagar,Kathgodam,April,Car|Bus,22,5,Low,Good,No,Cash preferred,30%,6,8,Low,6,7,No,6,अल्मोड़ा
Chikhalda,Maharashtra,West,low,mild,nature,summer,nature,4.3,Vidarbha's hill station inside Melghat Tiger Reserve,700,2000,Tiger Reserve|Tribal Culture|Waterfalls,Low,Marathi|Korku,Vada Pav|Zunka Bhakar|Sol Kadhi,Free,Eco Lodge|Guesthouse,Car,Easy,Tiger|Gaur|Leopard,No,No,Yes,Yes,Low,,7,Nagpur,Amravati,May,Car,30,15,Medium,Basic,No,Cash only,45%,8,7,Low,3,6,No,4,चिखलदा
Pench,Madhya Pradesh,Central,medium,hot,nature,winter,nature,4.6,Mowgli's land with highest tiger population,2000,6000,Tiger|Jungle Book|Wild Dog,Low,Hindi,Poha|Jalebi|Dal Bafla,2000,Jungle Lodge,Car,Easy,Tiger|Wild Dog|Leopard,No,No,Yes,Yes,Low,,8,Nagpur,Nagpur,November,Car,38,14,Low,Basic,No,Cash preferred,30%,7,8,Low,4,7,No,4,पेंच
Jim Corbett,Uttarakhand,North,medium,mild,nature,winter,nature,4.7,India's oldest national park and tiger reserve,2500,7000,Tiger|Elephant|Jim Corbett Legacy,High,Hindi|English,Dal Rice|Aloo Ke Gutke|Kafuli,2000,Jungle Lodge|Resort,Car,Easy,Tiger|Elephant|Leopard,No,No,Yes,Yes,Low,,8,Delhi,Ramnagar,November,Car|Jeep,28,10,Medium,Good,No,Card accepted,20%,5,8,Low,5,8,No,5,जिम कॉर्बेट
Satpura,Madhya Pradesh,Central,medium,mild,nature,winter,nature,4.6,Walk safaris in India's most biodiverse landscape,2000,6000,Walk Safari|Leopard|Tiger,Low,Hindi,Poha|Dal Bafla|Jalebi,2000,Jungle Lodge|Camp,Car,Easy,Tiger|Leopard|Gaur,No,No,Yes,Yes,Low,,8,Bhopal,Pipariya,November,Car,34,12,Low,Basic,No,Cash preferred,30%,8,8,Low,4,7,No,4,सतपुड़ा
Periyar,Kerala,South,medium,tropical,nature,winter,nature,4.6,Spice plantations with elephant lake safari,1500,5000,Elephant Safari|Spice Garden|Tiger,Medium,Malayalam|Tamil,Kerala Sadya|Fish Curry|Appam,300,Eco Lodge|Resort,Car|Bus,Easy,Elephant|Tiger|Leopard,No,Yes,Yes,Yes,Low,,8,Cochin,Ernakulam,November,Car|Boat,28,18,Medium,Good,No,Card accepted,25%,6,8,Low,6,8,No,6,पेरियार
Valparai,Tamil Nadu,South,low,mild,nature,winter,nature,4.5,Tamil Nadu's hidden gem with tea estates and gaur,800,2500,Tea Estates|Gaur|Shola Forest,Low,Tamil,Filter Coffee|Parotta|Chicken Chettinad,Free,Hotel|Eco Lodge,Car,Easy,Gaur|Leopard|Nilgiri Tahr,No,Yes,Yes,Yes,Low,,8,Coimbatore,Pollachi,November,Car,22,15,Low,Basic,No,Cash preferred,40%,9,9,Low,4,7,No,5,वालपाराई
Yelagiri,Tamil Nadu,South,low,mild,nature,summer,nature,4.3,Peaceful Tamil Nadu hill station with boating and trekking,600,1800,Boating|Trekking|Peace,Low,Tamil,Filter Coffee|Pongal|Dosa,Free,Hotel|Resort,Car|Bus,Easy,—,No,Yes,Yes,Yes,Low,,7,Vellore,Jolarpettai,May,Car|Bus,25,15,Medium,Basic,No,Cash preferred,35%,7,7,Low,5,8,No,6,येलागिरी
Pattadakal,Karnataka,South,low,hot,cultural,winter,cultural,4.6,UNESCO World Heritage Chalukya temples,400,1200,UNESCO|Chalukya Temples|History,Low,Kannada,Jolada Roti|Spicy Mutton|Filter Coffee,25,Hotel|Guesthouse,Car|Bus,Easy,—,Yes,No,Yes,Yes,Low,,8,Hubli,Badami,November,Car|Bus,36,16,Low,Basic,No,Cash preferred,40%,8,8,Low,4,7,No,5,पट्टदकल
